subEventName,playerId,matchId,teamId,eventSec,eventMin
Shot,8017,2499944,1639,959.633891,16.0
Shot,15198,2499944,1639,1208.223944,20.1
Shot,8017,2499944,1639,1250.735181,20.8
Shot,15198,2499944,1639,1478.034943,24.6
Shot,134513,2499944,1611,1546.359469,25.8
Shot,8135,2499944,1611,1731.616012,28.9
Shot,134513,2499944,1611,2117.505678,35.3
Shot,134513,2499944,1611,2255.741517,37.6
Shot,25854,2499944,1639,2634.386519,43.9
Shot,134513,2499944,1611,2669.222911,44.5
Shot,77548,2499944,1639,2751.291618,45.9
Shot,49872,2499944,1639,2763.200554,46.1
Shot,7905,2499944,1611,3213.6149729999997,53.6
Shot,7936,2499944,1611,3436.411704,57.3
Shot,134513,2499944,1611,3526.4473990000006,58.8
Shot,7906,2499944,1611,3696.6372649999994,61.6
Shot,7906,2499944,1611,3884.179896,64.7
Shot,7905,2499944,1611,3931.437807,65.5
Shot,7934,2499944,1611,3934.40144,65.6
Shot,8135,2499944,1611,4078.626984,68.0
Shot,332605,2499944,1639,4125.4669140000005,68.8
Shot,7905,2499944,1611,4301.352058,71.7
Shot,397178,2499944,1611,5035.18266,83.9
Shot,15054,2499944,1639,5114.78652,85.2
Shot,15054,2499944,1639,5116.261279,85.3
Shot,397178,2499944,1611,5363.384285,89.4
Shot,12536,2499945,1613,180.866553,3.0
Shot,8620,2499945,1613,499.635194,8.3
Shot,12536,2499945,1613,698.473295,11.6
Shot,288865,2499945,10531,880.583981,14.7
Shot,230883,2499945,1613,1053.008478,17.6
Shot,7978,2499945,1613,1277.749357,21.3
Shot,230883,2499945,1613,1527.924545,25.5
Shot,61962,2499945,10531,2076.029928,34.6
Shot,284,2499945,10531,2139.130109,35.7
Shot,61979,2499945,10531,2783.24255,46.4
Shot,12536,2499945,1613,2908.5501920000006,48.5
Shot,25571,2499945,10531,3593.7231279999996,59.9
Shot,25571,2499945,10531,3596.261165,59.9
Shot,230883,2499945,1613,4035.329546000001,67.3
Shot,3327,2499945,1613,4039.818046,67.3
Shot,8620,2499945,1613,4529.252795,75.5
Shot,471,2499945,10531,5565.403394000001,92.8
Shot,14911,2499946,1624,868.3987930000001,14.5
Shot,7944,2499946,1623,905.44782,15.1
Shot,25706,2499946,1623,1239.069783,20.7
Shot,8717,2499946,1624,1310.647012,21.8
Shot,25785,2499946,1624,1314.556497,21.9
Shot,8717,2499946,1624,1361.567182,22.7
Shot,8717,2499946,1624,1450.983579,24.2
Shot,14911,2499946,1624,1509.359651,25.2
Shot,48,2499946,1624,1711.506663,28.5
Shot,32636,2499946,1623,1899.877733,31.7
Shot,8624,2499946,1623,2369.342944,39.5
Shot,14911,2499946,1624,2819.468928,47.0
Shot,8717,2499946,1624,2820.7157829999996,47.0
Shot,7944,2499946,1623,2903.2635009999995,48.4
Shot,13484,2499946,1624,3121.798111,52.0
Shot,8717,2499946,1624,3273.7422110000007,54.6
Shot,14911,2499946,1624,3458.870497,57.6
Shot,8717,2499946,1624,3526.9857549999997,58.8
Shot,25785,2499946,1624,4202.762231000001,70.0
Shot,14911,2499946,1624,4570.501519000001,76.2
Shot,13484,2499946,1624,4572.169493000001,76.2
Shot,14911,2499946,1624,4767.914323000001,79.5
Shot,54,2499946,1624,4847.265243,80.8
Shot,14911,2499946,1624,5010.213051999999,83.5
Shot,61967,2499946,1624,5340.261860999999,89.0
Shot,8384,2499947,1619,822.821426,13.7
Shot,70389,2499947,1619,834.696539,13.9
Shot,70156,2499947,1644,1087.001395,18.1
Shot,7929,2499947,1644,1103.927376,18.4
Shot,160,2499947,1644,1121.689406,18.7
Shot,8144,2499947,1619,1198.617221,20.0
Shot,8384,2499947,1619,1371.401652,22.9
Shot,268776,2499947,1619,1549.640623,25.8
Shot,8384,2499947,1619,1954.042891,32.6
Shot,68085,2499947,1644,2210.196469,36.8
Shot,10663,2499947,1644,2528.801388,42.1
Shot,8144,2499947,1619,2629.077687,43.8
Shot,377071,2499947,1644,2781.807208,46.4
Shot,20593,2499947,1644,3283.0605419999993,54.7
Shot,377071,2499947,1644,3399.2391879999996,56.7
Shot,160,2499947,1644,3426.2814230000004,57.1
Shot,10663,2499947,1644,3428.848668999999,57.1
Shot,70156,2499947,1644,3680.443600999999,61.3
Shot,25885,2499947,1644,3789.973694,63.2
Shot,135114,2499947,1619,4114.285816,68.6
Shot,10663,2499947,1644,4196.434074000001,69.9
Shot,160,2499947,1644,4378.384966,73.0
Shot,28292,2499947,1644,5372.218154,89.5
Shot,91381,2499948,1651,81.44899699999999,1.4
Shot,7914,2499948,1627,208.180287,3.5
Shot,8360,2499948,1627,525.245349,8.8
Shot,9414,2499948,1627,1016.469656,16.9
Shot,8360,2499948,1627,1106.572828,18.4
Shot,466,2499948,1651,1250.895538,20.8
Shot,8416,2499948,1651,1658.243821,27.6
Shot,8416,2499948,1651,1660.31094,27.7
Shot,9414,2499948,1627,1852.287523,30.9
Shot,466,2499948,1651,2221.078166,37.0
Shot,9097,2499948,1651,2223.124268,37.1
Shot,25950,2499948,1651,2254.600566,37.6
Shot,8360,2499948,1627,2457.09388,41.0
Shot,3577,2499948,1627,2534.535179,42.2
Shot,15526,2499948,1651,2594.216335,43.2
Shot,8958,2499948,1627,2862.5936789999996,47.7
Shot,8314,2499948,1627,2911.557552,48.5
Shot,8958,2499948,1627,3048.443392000001,50.8
Shot,3278,2499948,1651,3120.6088689999997,52.0
Shot,8360,2499948,1627,3244.102476,54.1
Shot,25950,2499948,1651,4001.821663999999,66.7
Shot,3577,2499948,1627,4111.011682,68.5
Shot,8416,2499948,1651,4291.501641999999,71.5
Shot,8416,2499948,1651,4358.295084000001,72.6
Shot,26495,2499948,1651,5402.486054000001,90.0
Shot,3577,2499948,1627,5445.787797000001,90.8
Shot,3577,2499948,1627,5556.788021,92.6
Shot,230020,2499949,1609,277.384527,4.6
Shot,3560,2499949,1609,301.427975,5.0
Shot,230020,2499949,1609,537.669404,9.0
Shot,230020,2499949,1609,558.703638,9.3
Shot,8554,2499949,1628,694.273215,11.6
Shot,25413,2499949,1609,727.174417,12.1
Shot,7855,2499949,1609,763.0927,12.7
Shot,49876,2499949,1609,840.896953,14.0
Shot,3319,2499949,1609,1260.200282,21.0
Shot,25413,2499949,1609,1289.422447,21.5
Shot,230020,2499949,1609,1427.665833,23.8
Shot,25865,2499949,1628,1621.826804,27.0
Shot,8422,2499949,1628,2542.1402,42.4
Shot,397168,2499949,1628,2769.924439,46.2
Shot,25865,2499949,1628,2788.740629,46.5
Shot,454,2499949,1628,2878.1377470000007,48.0
Shot,7958,2499949,1628,2906.2454830000006,48.4
Shot,230020,2499949,1609,3323.6396000000004,55.4
Shot,38031,2499949,1628,3583.809255,59.7
Shot,120339,2499949,1609,4261.213731,71.0
Shot,167145,2499949,1609,4484.268164000001,74.7
Shot,127537,2499949,1628,4630.916883,77.2
Shot,25413,2499949,1609,4691.745991,78.2
Shot,25413,2499949,1609,4696.036746,78.3
Shot,25707,2499950,1610,176.33642500000002,2.9
Shot,15526,2499950,1651,266.506135,4.4
Shot,105333,2499950,1610,346.957495,5.8
Shot,247248,2499950,1651,827.98665,13.8
Shot,28291,2499950,1610,1024.593416,17.1
Shot,3657,2499950,1651,1473.809797,24.6
Shot,105333,2499950,1610,1520.525621,25.3
Shot,38093,2499950,1610,1641.743099,27.4
Shot,25707,2499950,1610,1686.485639,28.1
Shot,3657,2499950,1651,1771.888547,29.5
Shot,8242,2499950,1651,1925.357727,32.1
Shot,38093,2499950,1610,2445.357746,40.8
Shot,38093,2499950,1610,2599.408158,43.3
Shot,466,2499950,1651,2990.4335659999997,49.8
Shot,247248,2499950,1651,3677.7818770000017,61.3
Shot,20855,2499950,1651,3923.003840000001,65.4
Shot,20855,2499950,1651,4111.907469,68.5
Shot,25707,2499950,1610,4575.41786,76.3
Shot,38093,2499950,1610,5101.128166999999,85.0
Shot,8625,2499950,1610,5296.810734000001,88.3
Shot,8416,2499950,1651,5382.313803000001,89.7
