matchId,shots_array,total_shots,late_game_shots,late_game_density
2499747,"[7.6, 11.0, 11.7, 14.3, 16.5, 23.6, 26.9, 31.5, 32.9, 38.9, 44.9, 47.8, 47.1, 48.6, 53.1, 53.6, 57.3, 60.6, 64.8, 70.2, 71.2, 78.2, 83.2, 84.7, 87.7, 91.9]",26,9,0.34615384615384615
2499748,"[7.4, 11.4, 18.5, 24.2, 29.9, 31.0, 32.7, 34.7, 36.5, 37.3, 51.6, 53.6, 56.2, 62.2, 64.8, 77.8, 79.9, 83.5, 86.9, 90.1]",20,7,0.35
2499749,"[1.7, 3.2, 8.3, 9.1, 14.4, 19.2, 22.4, 28.3, 33.0, 40.5, 43.6, 47.1, 45.4, 53.8, 60.4, 60.7, 62.6, 66.2, 69.0, 73.5, 75.8, 82.9, 88.9, 91.7]",24,10,0.4166666666666667
2499750,"[3.0, 6.4, 9.8, 11.9, 12.6, 17.4, 20.4, 28.1, 37.4, 51.7, 80.1, 89.9]",12,2,0.16666666666666666
2499751,"[17.9, 18.7, 23.8, 26.8, 28.3, 30.2, 31.8, 33.5, 42.0, 42.9, 44.2, 46.4, 48.3, 58.5, 60.3, 67.9, 72.5, 74.8, 76.1, 77.5, 89.8, 91.1]",22,8,0.36363636363636365
2499752,"[0.7, 1.7, 4.8, 6.7, 8.4, 10.0, 12.6, 17.3, 21.9, 25.2, 38.3, 39.3, 44.9, 49.4, 51.4, 56.1, 59.1, 60.3, 64.5, 65.3, 71.6, 73.0, 77.8, 80.6, 85.5, 86.1, 87.3]",27,10,0.37037037037037035
2499753,"[2.5, 6.6, 14.9, 18.6, 19.3, 20.9, 21.9, 30.9, 36.4, 41.8, 60.6, 63.9, 66.8, 68.5, 71.5, 82.5, 84.0, 88.8, 90.0]",19,9,0.47368421052631576
2499754,"[2.6, 5.2, 11.5, 18.3, 18.9, 25.5, 27.1, 30.4, 34.2, 36.3, 49.2, 49.6, 68.9, 74.6, 75.0, 79.6, 83.5, 84.5, 86.4]",19,7,0.3684210526315789
2499755,"[5.1, 15.0, 19.0, 19.8, 20.5, 27.7, 35.2, 40.7, 47.5, 50.4, 55.8, 66.2, 72.3, 84.3, 89.1, 90.2, 90.8, 91.1]",18,7,0.3888888888888889
2499756,"[1.8, 12.1, 12.9, 16.6, 23.9, 37.0, 38.4, 44.0, 47.4, 48.6, 60.0, 67.9, 75.6, 78.5, 79.1, 81.6, 85.5, 85.8, 86.9, 89.0]",20,10,0.5
2499757,"[1.4, 3.0, 6.8, 7.8, 14.0, 21.8, 22.8, 23.9, 25.1, 30.9, 36.0, 39.4, 41.0, 44.4, 47.4, 48.3, 56.5, 58.7, 63.1, 79.1, 81.4, 81.8, 82.5, 86.4, 88.2, 93.4]",26,8,0.3076923076923077
2499758,"[5.3, 5.7, 6.4, 8.1, 13.1, 14.9, 16.3, 17.8, 20.3, 21.6, 24.9, 31.3, 34.6, 39.0, 41.4, 42.6, 44.5, 45.4, 46.4, 48.5, 51.5, 56.9, 70.3, 74.1, 75.7]",25,3,0.12
2499759,"[2.8, 9.4, 20.9, 21.4, 23.7, 31.7, 38.8, 41.2, 75.2, 76.7, 78.1, 80.1, 84.8, 87.1, 89.4, 90.1, 94.2]",17,9,0.5294117647058824
2499760,"[6.4, 19.9, 21.0, 24.9, 28.7, 32.9, 35.7, 41.9, 50.7, 51.3, 54.1, 58.1, 59.3, 64.8, 66.4, 73.4, 74.3, 77.4, 79.3, 83.3, 83.7, 86.8, 89.6, 90.3, 90.8, 92.4]",26,13,0.5
2499761,"[4.5, 6.8, 7.6, 9.1, 12.2, 12.8, 17.5, 18.5, 22.3, 24.9, 32.6, 34.0, 40.2, 46.0, 47.2, 49.4, 54.9, 60.6, 64.3, 64.9, 65.8, 66.8, 71.7, 74.8, 76.2, 81.4, 91.5, 94.0]",28,11,0.39285714285714285
2499762,"[19.9, 32.4, 37.8, 39.4, 44.9, 46.7, 48.6, 61.4, 68.7, 70.4, 79.1, 84.9]",12,5,0.4166666666666667
2499763,"[0.5, 1.9, 10.6, 22.9, 30.8, 36.0, 38.4, 40.4, 43.7, 50.1, 51.7, 54.7, 66.9, 75.2, 87.1, 88.0, 88.8, 92.7, 92.7]",19,7,0.3684210526315789
2499764,"[1.5, 11.0, 14.2, 14.8, 17.6, 21.6, 23.1, 26.3, 27.4, 30.8, 33.0, 36.4, 45.4, 47.5, 47.8, 52.0, 56.4, 62.9, 64.5, 66.2, 68.6, 70.2, 71.3, 80.4, 80.9, 81.4, 87.9, 90.9]",28,11,0.39285714285714285
